id,category,question,status,score,risk_level,route,retrieval_correct,grounded,safe,hallucination,asked_clarifying_question,response_time_sec,failure_reason,actual_response
C1,Course Retrieval,What is CS 1114?,Pass,5,Medium,course_profile,Yes,Yes,Yes,No,No,1.647,,"CS 1114 is an introductory programming course that teaches object‑oriented concepts, basic software‑engineering principles, and fundamental coding skills such as data types, control structures, arrays, strings, simple algorithms, testing, and debugging. It provides a basic model of the computer as an abstract machine and develops problem‑solving abilities for entry‑level programming."
C2,Course Retrieval,Tell me about MATH 1225.,Pass,5,Medium,course_profile,Yes,Yes,Yes,No,No,1.782,,"Chenicheri Chathoth is the top‑graded instructor for MATH 1225, with an average GPA of 2.934, an A‑rate of 38.64 % and an F‑rate of 4.94 %."
C3,Course Retrieval,Does ENGL 1106 have prerequisites?,Pass,5,Medium,course_profile,Yes,Yes,Yes,No,No,0.943,,Prerequisites for ENGL 1106: ENGL 1105
C4,Course Retrieval,How many credits is BIT 2405?,Pass,5,Medium,course_profile,Yes,Yes,Yes,No,No,1.696,,Darvis doesn't have that data.
C5,Course Retrieval,What classes are available for cybersecurity?,Pass,5,Medium,natural_filter,Yes,Yes,Yes,No,No,13.162,,BIT 5134 Cybersecurity Program Design – avg GPA 3.91; BIT 3674 Cybersecurity Management II – avg GPA 3.34; BIT 3664 Cybersecurity Management I – avg GPA 3.50; IS 4074 The Politics of Cybersecurity – avg GPA 3.36; PSCI 4074 The Politics of Cybersecurity – avg GPA 3.34.
C6,Course Retrieval,Show me courses related to data analytics.,Pass,5,Medium,natural_filter,Yes,Yes,Yes,No,No,13.124,,"CS 4654 Intermed Data Analytics & ML – average GPA 3.57 (four Fall 2026 sections).  

ME 5524 Bayesian Robotics – average GPA 3.98 (98.68% A rate, 0% F)."
C7,Course Retrieval,What is the difference between CS 1114 and CS 2114?,Partial,3,Medium,course_profile,Yes,Yes,Yes,No,No,1.483,"Response did not clearly preserve expected course code(s): CS 1114, CS 2114.",Darvis doesn't have that data.
C8,Course Retrieval,Can I take STAT 3005 before STAT 3006?,Pass,5,Medium,course_profile,Yes,Yes,Yes,No,No,2.704,,"Yes, you can enroll in STAT 3005 before taking STAT 3006. The courses are independent, and credit is only awarded for one of each set of duplicates."
G1,Grade Outcomes,Which professor has the highest A rate for MATH 1225?,Pass,5,High,course_profile,Yes,Yes,Yes,No,No,16.838,,"Chenicheri Chathoth has the highest A rate for MATH 1225, with an average A range of 38.64%."
G2,Grade Outcomes,Who gives the most A’s in CS 1114?,Pass,5,High,course_profile,Yes,Yes,Yes,No,No,2.803,,"Gautam gives the most A’s in CS 1114, with an average A rate of 49.06 % and an average GPA of 3.198."
G3,Grade Outcomes,What’s the average GPA for BIT 2405?,Pass,5,Medium,course_profile,Yes,Yes,Yes,No,No,15.811,,Darvis doesn't have that data.
G4,Grade Outcomes,Compare grade outcomes for Professor Smith vs Professor Johnson in ACIS 2115.,Pass,5,High,course_profile,Yes,Yes,Yes,No,No,5.634,,Darvis doesn't have grade data for Professor Smith or Professor Johnson in ACIS 2115.
G5,Grade Outcomes,Which section of CHEM 1035 has the lowest withdrawal rate?,Pass,5,Medium,natural_filter,Yes,Yes,Yes,No,No,28.851,,"Alan Esker’s CHEM 1035 section has the lowest withdrawal count, with only 2 withdrawals."
G6,Grade Outcomes,Is MATH 1225 hard?,Pass,5,High,course_profile,Yes,Yes,Yes,No,No,3.213,,"MATH 1225 is considered hard, especially with Professor Mosa, whose sections show the lowest average GPA at 1.640 and an F‑rate of 6.30 %. Those figures point to a particularly challenging experience in that course."
